X	SOC	"MedDRA term name (mangled, from R)"	MedDRA term name	MedDRA ID	UMLS concept CUI for ADR	UMLS concept name for ADR	target	Entrez Gene Symbol for target	MeSH term for target
305	psychiatric disorders	impulse control disorders nec	impulse control disorders nec	10021563	C0868740	Impulse control disorder NEC (disorder) in SNOMEDCT_US_2016_03_01	Al1A Agonism	ADRA1A	"Receptors, Adrenergic, alpha-1"
172	psychiatric disorders	impulse control disorders nec	impulse control disorders nec	10021563	C0868740	Impulse control disorder NEC (disorder) in SNOMEDCT_US_2016_03_01	Al2A Agonism	ADRA2A	"Receptors, Adrenergic, alpha-2"
173	psychiatric disorders	impulse control disorders nec	impulse control disorders nec	10021563	C0868740	Impulse control disorder NEC (disorder) in SNOMEDCT_US_2016_03_01	MAO A	MAOA	Monoamine Oxidase
309	psychiatric disorders	mood disorders and disturbances nec	mood disorders and disturbances nec	10027946	C0851539	Mood disorders and disturbances NEC	NET	SLC6A2	Norepinephrine Plasma Membrane Transport Proteins
175	psychiatric disorders	mood disorders and disturbances nec	mood disorders and disturbances nec	10027946	C0851539	Mood disorders and disturbances NEC	r BZD	GABRA1	"Receptors, GABA-A"
176	psychiatric disorders	personality disorders and disturbances in behaviour	personality disorders and disturbances in behaviour	10034726	C0851574	Personality disorders and disturbances in behaviour	OpM Binding	OPRM1	"Receptors, Opioid, mu"
177	psychiatric disorders	personality disorders and disturbances in behaviour	personality disorders and disturbances in behaviour	10034726	C0851574	Personality disorders and disturbances in behaviour	r BZD	GABRA1	"Receptors, GABA-A"
312	psychiatric disorders	psychiatric and behavioural symptoms nec	psychiatric and behavioural symptoms nec	10037173	C0851575	Psychiatric and behavioural symptoms NEC	M1	CHRM1	"Receptor, Muscarinic M1"
180	psychiatric disorders	psychiatric and behavioural symptoms nec	psychiatric and behavioural symptoms nec	10037173	C0851575	Psychiatric and behavioural symptoms NEC	r BZD	GABRA1	"Receptors, GABA-A"
181	psychiatric disorders	psychiatric disorders nec	psychiatric disorders nec	10037176	C0851576	Psychiatric disorders NEC	r BZD	GABRA1	"Receptors, GABA-A"
184	psychiatric disorders	sleep disorders and disturbances	sleep disorders and disturbances	10040991	C0851578	Sleep Disorders	r BZD	GABRA1	"Receptors, GABA-A"
185	psychiatric disorders	suicidal and self injurious behaviours nec	suicidal and self-injurious behaviours nec	10042460	C0947781	Suicidal and self-injurious behaviours NEC	r BZD	GABRA1	"Receptors, GABA-A"
186	renal and urinary disorders	bladder and bladder neck disorders  excl calculi 	bladder and bladder neck disorders (excl calculi)	10004994	C0851427	Bladder and bladder neck disorders (excl calculi)	5HTT	SLC6A4	Serotonin Plasma Membrane Transport Proteins
187	renal and urinary disorders	bladder and bladder neck disorders  excl calculi 	bladder and bladder neck disorders (excl calculi)	10004994	C0851427	Bladder and bladder neck disorders (excl calculi)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
188	renal and urinary disorders	nephropathies	nephropathies	10029149	C0022658	Kidney Diseases	COX-2	PTGS2	Cyclooxygenase 2
190	renal and urinary disorders	renal disorders  excl nephropathies 	renal disorders (excl nephropathies)	10038430	C0851462	Renal disorders (excl nephropathies)	hERG Binding	KCNH2	ERG1 Potassium Channel
191	renal and urinary disorders	urolithiases	urolithiases	10046708	C0451641	Urolithiasis	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
192	reproductive system and breast disorders	breast disorders	breast disorders	10006232	C0006145	Breast Diseases	AR Binding	AR	"Receptors, Androgen"
193	reproductive system and breast disorders	breast disorders	breast disorders	10006232	C0006145	Breast Diseases	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
195	reproductive system and breast disorders	cervix disorders  excl infections and inflammations 	cervix disorders (excl infections and inflammations)	10013364	C0851499	Cervix disorders (excl infections and inflammations)	AR Binding	AR	"Receptors, Androgen"
196	reproductive system and breast disorders	cervix disorders  excl infections and inflammations 	cervix disorders (excl infections and inflammations)	10013364	C0851499	Cervix disorders (excl infections and inflammations)	ERa Binding	ESR1	"Receptors, Estrogen"
314	reproductive system and breast disorders	male reproductive tract infections and inflammations	male reproductive tract infections and inflammations	10025518	C0851527	Male reproductive tract infections and inflammations	Al2A Binding	ADRA2A	"Receptors, Adrenergic, alpha-2"
197	reproductive system and breast disorders	menopause and related conditions	menopause and related conditions	10074469	C3804955	#N/A	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
198	reproductive system and breast disorders	menstrual cycle and uterine bleeding disorders	menstrual cycle and uterine bleeding disorders	10013326	C0851493	Menstrual cycle and uterine bleeding disorders	AR Binding	AR	"Receptors, Androgen"
200	reproductive system and breast disorders	menstrual cycle and uterine bleeding disorders	menstrual cycle and uterine bleeding disorders	10013326	C0851493	Menstrual cycle and uterine bleeding disorders	ERa Binding	ESR1	"Receptors, Estrogen"
202	reproductive system and breast disorders	ovarian and fallopian tube disorders	ovarian and fallopian tube disorders	10033283	C0947765	Ovarian and fallopian tube disorders	AR Binding	AR	"Receptors, Androgen"
203	reproductive system and breast disorders	ovarian and fallopian tube disorders	ovarian and fallopian tube disorders	10033283	C0947765	Ovarian and fallopian tube disorders	ERa Binding	ESR1	"Receptors, Estrogen"
315	reproductive system and breast disorders	ovarian and fallopian tube disorders	ovarian and fallopian tube disorders	10033283	C0947765	Ovarian and fallopian tube disorders	ETb	EDNRB	"Receptor, Endothelin B"
204	reproductive system and breast disorders	ovarian and fallopian tube disorders	ovarian and fallopian tube disorders	10033283	C0947765	Ovarian and fallopian tube disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
205	reproductive system and breast disorders	penile and scrotal disorders  excl infections and inflammations 	penile and scrotal disorders (excl infections and inflammations)	10013355	C0851498	Penile and scrotal disorders (excl infections and inflammations)	AR Binding	AR	"Receptors, Androgen"
206	reproductive system and breast disorders	penile and scrotal disorders  excl infections and inflammations 	penile and scrotal disorders (excl infections and inflammations)	10013355	C0851498	Penile and scrotal disorders (excl infections and inflammations)	D1 Agonism	DRD1	"Receptors, Dopamine D1"
207	reproductive system and breast disorders	penile and scrotal disorders  excl infections and inflammations 	penile and scrotal disorders (excl infections and inflammations)	10013355	C0851498	Penile and scrotal disorders (excl infections and inflammations)	ERa Binding	ESR1	"Receptors, Estrogen"
208	reproductive system and breast disorders	reproductive tract disorders nec	reproductive tract disorders nec	10038612	C0851534	Reproductive tract disorders NEC	AR Binding	AR	"Receptors, Androgen"
209	reproductive system and breast disorders	reproductive tract disorders nec	reproductive tract disorders nec	10038612	C0851534	Reproductive tract disorders NEC	Al2A Agonism	ADRA2A	"Receptors, Adrenergic, alpha-2"
210	reproductive system and breast disorders	reproductive tract disorders nec	reproductive tract disorders nec	10038612	C0851534	Reproductive tract disorders NEC	ERa Binding	ESR1	"Receptors, Estrogen"
212	reproductive system and breast disorders	sexual function and fertility disorders	sexual function and fertility disorders	10013356	C0851491	Sexual function and fertility disorders	H1 Antagonism	HRH1	"Receptors, Histamine H1"
214	reproductive system and breast disorders	uterine  pelvic and broad ligament disorders	"uterine, pelvic and broad ligament disorders"	10046828	C0947774	"Uterine, pelvic and broad ligament disorders"	AR Binding	AR	"Receptors, Androgen"
215	reproductive system and breast disorders	uterine  pelvic and broad ligament disorders	"uterine, pelvic and broad ligament disorders"	10046828	C0947774	"Uterine, pelvic and broad ligament disorders"	ERa Binding	ESR1	"Receptors, Estrogen"
216	reproductive system and breast disorders	uterine  pelvic and broad ligament disorders	"uterine, pelvic and broad ligament disorders"	10046828	C0947774	"Uterine, pelvic and broad ligament disorders"	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
218	reproductive system and breast disorders	vulvovaginal disorders  excl infections and inflammations 	vulvovaginal disorders (excl infections and inflammations)	10047789	C0851546	Vulvovaginal disorders (excl infections and inflammations)	ERa Binding	ESR1	"Receptors, Estrogen"
319	reproductive system and breast disorders	vulvovaginal disorders  excl infections and inflammations 	vulvovaginal disorders (excl infections and inflammations)	10047789	C0851546	Vulvovaginal disorders (excl infections and inflammations)	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
220	"respiratory, thoracic and mediastinal disorders"	bronchial disorders  excl neoplasms 	bronchial disorders (excl neoplasms)	10006436	C0851526	Bronchial disorders (excl neoplasms)	Beta2 Binding	ADRB2	"Receptors, Adrenergic, beta-2"
221	"respiratory, thoracic and mediastinal disorders"	lower respiratory tract disorders  excl obstruction and infection 	lower respiratory tract disorders (excl obstruction and infection)	10024967	C0851573	Lower respiratory tract disorders (excl obstruction and infection)	hERG Binding	KCNH2	ERG1 Potassium Channel
223	"respiratory, thoracic and mediastinal disorders"	neonatal respiratory disorders	neonatal respiratory disorders	10028971	C1285373	Neonatal respiratory system disorder	r BZD	GABRA1	"Receptors, GABA-A"
225	"respiratory, thoracic and mediastinal disorders"	pulmonary vascular disorders	pulmonary vascular disorders	10037454	C0854416	Pulmonary vascular disorder	GR Binding	NR3C1	"Receptors, Glucocorticoid"
227	"respiratory, thoracic and mediastinal disorders"	upper respiratory tract disorders  excl infections 	upper respiratory tract disorders (excl infections)	10046304	C0947736	Upper respiratory tract disorders (excl infections)	AR Binding	AR	"Receptors, Androgen"
228	"respiratory, thoracic and mediastinal disorders"	upper respiratory tract disorders  excl infections 	upper respiratory tract disorders (excl infections)	10046304	C0947736	Upper respiratory tract disorders (excl infections)	BSEP	ABCB11	"ATP Binding Cassette Transporter, Subfamily B, Member 11"
229	skin and subcutaneous tissue disorders	angioedema and urticaria	angioedema and urticaria	10002426	C0002994	Angioedema	AR Binding	AR	"Receptors, Androgen"
230	skin and subcutaneous tissue disorders	cornification and dystrophic skin disorders	cornification and dystrophic skin disorders	10011063	C0851421	Cornification and dystrophic skin disorders	Ad3	ADORA3	"Receptor, Adenosine A3"
231	skin and subcutaneous tissue disorders	cornification and dystrophic skin disorders	cornification and dystrophic skin disorders	10011063	C0851421	Cornification and dystrophic skin disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
232	skin and subcutaneous tissue disorders	cornification and dystrophic skin disorders	cornification and dystrophic skin disorders	10011063	C0851421	Cornification and dystrophic skin disorders	PR Agonism	PGR	"Receptors, Progesterone"
234	skin and subcutaneous tissue disorders	cutaneous neoplasms benign	cutaneous neoplasms benign	10040899	C0004998	Benign neoplasm of skin	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
237	skin and subcutaneous tissue disorders	epidermal and dermal conditions	epidermal and dermal conditions	10014982	C0851422	Epidermal and dermal conditions	hERG Binding	KCNH2	ERG1 Potassium Channel
373	skin and subcutaneous tissue disorders	pigmentation disorders	pigmentation disorders	10035023	C0549567	Pigmentation Disorders	5HT2B Agonism	HTR2B	"Receptor, Serotonin, 5-HT2B"
322	skin and subcutaneous tissue disorders	pigmentation disorders	pigmentation disorders	10035023	C0549567	Pigmentation Disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
238	skin and subcutaneous tissue disorders	pigmentation disorders	pigmentation disorders	10035023	C0549567	Pigmentation Disorders	PDE4D	PDE4D	"Cyclic Nucleotide Phosphodiesterases, Type 4"
239	skin and subcutaneous tissue disorders	skin and subcutaneous tissue disorders nec	skin and subcutaneous tissue disorders nec	10040790	C0851461	Skin and subcutaneous tissue disorders NEC	Ad3	ADORA3	"Receptor, Adenosine A3"
241	skin and subcutaneous tissue disorders	skin and subcutaneous tissue disorders nec	skin and subcutaneous tissue disorders nec	10040790	C0851461	Skin and subcutaneous tissue disorders NEC	PR Binding	PGR	"Receptors, Progesterone"
242	skin and subcutaneous tissue disorders	skin appendage conditions	skin appendage conditions	10040798	C0851479	Skin appendage conditions	PR Binding	PGR	"Receptors, Progesterone"
324	vascular disorders	arteriosclerosis  stenosis  vascular insufficiency and necrosis	"arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	D1 Agonism	DRD1	"Receptors, Dopamine D1"
243	vascular disorders	arteriosclerosis  stenosis  vascular insufficiency and necrosis	"arteriosclerosis, stenosis, vascular insufficiency and necrosis"	10003216	C0851459	"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
325	vascular disorders	decreased and nonspecific blood pressure disorders and shock	decreased and nonspecific blood pressure disorders and shock	10011954	C0851460	Decreased and nonspecific blood pressure disorders and shock	hERG Binding	KCNH2	ERG1 Potassium Channel
244	vascular disorders	embolism and thrombosis	embolism and thrombosis	10014523	C0085307	Embolism and Thrombosis	GR Binding	NR3C1	"Receptors, Glucocorticoid"
245	vascular disorders	embolism and thrombosis	embolism and thrombosis	10014523	C0085307	Embolism and Thrombosis	PR Binding	PGR	"Receptors, Progesterone"
327	vascular disorders	lymphatic vessel disorders	lymphatic vessel disorders	10025231	C0920348	Lymphatic Vessel Diseases	AdT	SLC29A1	Equilibrative Nucleoside Transporter 1
247	vascular disorders	vascular haemorrhagic disorders	vascular haemorrhagic disorders	10047075	C0851563	Vascular hemorrhagic disorders	Ad3	ADORA3	"Receptor, Adenosine A3"
248	vascular disorders	vascular haemorrhagic disorders	vascular haemorrhagic disorders	10047075	C0851563	Vascular hemorrhagic disorders	COX-2	PTGS2	Cyclooxygenase 2
249	vascular disorders	vascular haemorrhagic disorders	vascular haemorrhagic disorders	10047075	C0851563	Vascular hemorrhagic disorders	ERa Binding	ESR1	"Receptors, Estrogen"
329	vascular disorders	vascular haemorrhagic disorders	vascular haemorrhagic disorders	10047075	C0851563	Vascular hemorrhagic disorders	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
250	vascular disorders	vascular inflammations	vascular inflammations	10047116	C0947751	Vascular inflammations	Ad1	ADORA1	"Receptor, Adenosine A1"
251	vascular disorders	vascular inflammations	vascular inflammations	10047116	C0947751	Vascular inflammations	COX-2	PTGS2	Cyclooxygenase 2
252	vascular disorders	vascular inflammations	vascular inflammations	10047116	C0947751	Vascular inflammations	MAO A	MAOA	Monoamine Oxidase
253	vascular disorders	vascular inflammations	vascular inflammations	10047116	C0947751	Vascular inflammations	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
254	vascular disorders	venous varices	venous varices	10057165	C0042345	Varicosity	PDE3	PDE3A	"Cyclic Nucleotide Phosphodiesterases, Type 3"
